中国联通-湖南-酒店,#genre#
CCTV1,http://58.20.77.78:9901/tsfile/live/37201_1.m3u8
CCTV2,http://58.20.77.78:9901/tsfile/live/37202_1.m3u8
CCTV3,http://58.20.77.78:9901/tsfile/live/37203_1.m3u8
CCTV4,http://58.20.77.78:9901/tsfile/live/37204_1.m3u8
CCTV5,http://58.20.77.78:9901/tsfile/live/37205_1.m3u8
CCTV6,http://58.20.77.78:9901/tsfile/live/37206_1.m3u8
CCTV7,http://58.20.77.78:9901/tsfile/live/37207_1.m3u8
CCTV8,http://58.20.77.78:9901/tsfile/live/37208_1.m3u8
CCTV9,http://58.20.77.78:9901/tsfile/live/37209_1.m3u8
CCTV10,http://58.20.77.78:9901/tsfile/live/37210_1.m3u8
CCTV11,http://58.20.77.78:9901/tsfile/live/37211_1.m3u8
CCTV12,http://58.20.77.78:9901/tsfile/live/37212_1.m3u8
CCTV13,http://58.20.77.78:9901/tsfile/live/37213_1.m3u8
CCTV14,http://58.20.77.78:9901/tsfile/live/37214_1.m3u8
CCTV15,http://58.20.77.78:9901/tsfile/live/37215_1.m3u8
湖南卫视,http://58.20.77.78:9901/tsfile/live/37216_1.m3u8
湖南经视,http://58.20.77.78:9901/tsfile/live/37217_1.m3u8
湖南都市,http://58.20.77.78:9901/tsfile/live/37218_1.m3u8
湖南电视剧,http://58.20.77.78:9901/tsfile/live/37219_1.m3u8
湖南电影,http://58.20.77.78:9901/tsfile/live/37220_1.m3u8
湖南娱乐,http://58.20.77.78:9901/tsfile/live/37221_1.m3u8
金鹰卡通,http://58.20.77.78:9901/tsfile/live/37222_1.m3u8
湖南教育,http://58.20.77.78:9901/tsfile/live/37223_1.m3u8
CETV4,http://58.20.77.78:9901/tsfile/live/37224_1.m3u8
江苏卫视,http://58.20.77.78:9901/tsfile/live/37225_1.m3u8
河南卫视,http://58.20.77.78:9901/tsfile/live/37226_1.m3u8
海南卫视,http://58.20.77.78:9901/tsfile/live/37227_1.m3u8
四川卫视,http://58.20.77.78:9901/tsfile/live/37228_1.m3u8
湖南国际,http://58.20.77.78:9901/tsfile/live/37229_1.m3u8
CHC动作电影,http://58.20.77.78:9901/tsfile/live/37230_1.m3u8
CHC电影,http://58.20.77.78:9901/tsfile/live/37231_1.m3u8
CHC家庭影院,http://58.20.77.78:9901/tsfile/live/37232_1.m3u8
